성질별 국가별 수출입실적,,,,,
,,,,,
"통계구분:수리일기준,조회기간:201908 ~202007 ,성질명:전체,수출입구분:수입,국가:[사우디아라비아]",,,,,
,,,,,"단위:천 불(USD 1,000) / 톤(TON)"
기간,수출입구분,국가명,성질명,중량,금액
총계,수입,,,"45,764,136.1","18,103,030"
2019.08,수입,사우디아라비아,1. 소비재,83.5,438
2019.08,수입,사우디아라비아,나. 직접소비재,76.7,418
2019.08,수입,사우디아라비아,다. 내구소비재,1.8,18
2019.08,수입,사우디아라비아,라. 비내구 소비재,.1,3
2019.08,수입,사우디아라비아,마. 간이세율 적용분,4.9,0
2019.08,수입,사우디아라비아,2. 원자재,"4,566,411.1","2,258,791"
2019.08,수입,사우디아라비아,가. 연 료,"4,498,490.0","2,201,616"
2019.08,수입,사우디아라비아,나. 광 물,"5,846.3","15,029"
2019.08,수입,사우디아라비아,다. 경공업 원료,78.0,50
2019.08,수입,사우디아라비아,마. 섬유류,19.5,43
2019.08,수입,사우디아라비아,바. 화공품,"60,975.4","40,069"
2019.08,수입,사우디아라비아,사. 철강재,7.9,29
2019.08,수입,사우디아라비아,아. 비철금속,977.6,"1,942"
2019.08,수입,사우디아라비아,자. 기 타,16.4,12
2019.08,수입,사우디아라비아,3. 자본재,6.5,72
2019.08,수입,사우디아라비아,가. 기계류와 정밀기기,5.0,65
2019.08,수입,사우디아라비아,나. 전기·전자기기,.3,5
2019.08,수입,사우디아라비아,다. 수송장비,1.2,1
2019.08,수입,사우디아라비아,라. 기 타,.0,1
2019.09,수입,사우디아라비아,1. 소비재,88.4,504
2019.09,수입,사우디아라비아,나. 직접소비재,80.7,468
2019.09,수입,사우디아라비아,다. 내구소비재,1.6,22
2019.09,수입,사우디아라비아,라. 비내구 소비재,.2,14
2019.09,수입,사우디아라비아,마. 간이세율 적용분,5.9,0
2019.09,수입,사우디아라비아,2. 원자재,"3,212,684.7","1,510,754"
2019.09,수입,사우디아라비아,가. 연 료,"3,127,363.9","1,452,137"
2019.09,수입,사우디아라비아,나. 광 물,"4,168.6","11,307"
2019.09,수입,사우디아라비아,다. 경공업 원료,154.1,134
2019.09,수입,사우디아라비아,라. 유 지,.0,0
2019.09,수입,사우디아라비아,마. 섬유류,11.9,32
2019.09,수입,사우디아라비아,바. 화공품,"79,152.4","43,625"
2019.09,수입,사우디아라비아,아. 비철금속,"1,796.8","3,383"
2019.09,수입,사우디아라비아,자. 기 타,37.0,136
2019.09,수입,사우디아라비아,3. 자본재,5.3,103
2019.09,수입,사우디아라비아,가. 기계류와 정밀기기,5.0,50
2019.09,수입,사우디아라비아,나. 전기·전자기기,.2,50
2019.09,수입,사우디아라비아,다. 수송장비,.0,0
2019.09,수입,사우디아라비아,라. 기 타,.1,2
2019.10,수입,사우디아라비아,1. 소비재,69.0,340
2019.10,수입,사우디아라비아,가. 곡물,.0,0
2019.10,수입,사우디아라비아,나. 직접소비재,60.3,315
2019.10,수입,사우디아라비아,다. 내구소비재,3.6,23
2019.10,수입,사우디아라비아,라. 비내구 소비재,.2,2
2019.10,수입,사우디아라비아,마. 간이세율 적용분,5.0,0
2019.10,수입,사우디아라비아,2. 원자재,"3,262,170.1","1,569,904"
2019.10,수입,사우디아라비아,가. 연 료,"3,202,695.9","1,507,923"
2019.10,수입,사우디아라비아,나. 광 물,"6,569.3","20,663"
2019.10,수입,사우디아라비아,다. 경공업 원료,78.2,51
2019.10,수입,사우디아라비아,마. 섬유류,19.2,42
2019.10,수입,사우디아라비아,바. 화공품,"50,823.8","35,789"
2019.10,수입,사우디아라비아,사. 철강재,121.1,"1,535"
2019.10,수입,사우디아라비아,아. 비철금속,"1,862.0","3,897"
2019.10,수입,사우디아라비아,자. 기 타,.5,4
2019.10,수입,사우디아라비아,3. 자본재,25.4,241
2019.10,수입,사우디아라비아,가. 기계류와 정밀기기,19.6,202
2019.10,수입,사우디아라비아,나. 전기·전자기기,4.6,30
2019.10,수입,사우디아라비아,다. 수송장비,1.2,9
2019.10,수입,사우디아라비아,라. 기 타,.1,1
2019.11,수입,사우디아라비아,1. 소비재,47.3,233
2019.11,수입,사우디아라비아,가. 곡물,.0,0
2019.11,수입,사우디아라비아,나. 직접소비재,40.8,227
2019.11,수입,사우디아라비아,다. 내구소비재,1.4,4
2019.11,수입,사우디아라비아,라. 비내구 소비재,.0,2
2019.11,수입,사우디아라비아,마. 간이세율 적용분,5.0,0
2019.11,수입,사우디아라비아,2. 원자재,"3,436,824.3","1,682,246"
2019.11,수입,사우디아라비아,가. 연 료,"3,341,606.9","1,616,822"
2019.11,수입,사우디아라비아,나. 광 물,"6,466.1","17,163"
2019.11,수입,사우디아라비아,다. 경공업 원료,131.3,96
2019.11,수입,사우디아라비아,마. 섬유류,6.5,14
2019.11,수입,사우디아라비아,바. 화공품,"85,420.9","41,979"
2019.11,수입,사우디아라비아,사. 철강재,3.5,39
2019.11,수입,사우디아라비아,아. 비철금속,"3,119.9","5,960"
2019.11,수입,사우디아라비아,자. 기 타,69.3,173
2019.11,수입,사우디아라비아,3. 자본재,52.4,354
2019.11,수입,사우디아라비아,가. 기계류와 정밀기기,52.3,350
2019.11,수입,사우디아라비아,나. 전기·전자기기,.1,2
2019.11,수입,사우디아라비아,다. 수송장비,.0,1
2019.12,수입,사우디아라비아,1. 소비재,19.1,252
2019.12,수입,사우디아라비아,가. 곡물,.0,0
2019.12,수입,사우디아라비아,나. 직접소비재,18.9,247
2019.12,수입,사우디아라비아,다. 내구소비재,.1,1
2019.12,수입,사우디아라비아,라. 비내구 소비재,.1,4
2019.12,수입,사우디아라비아,2. 원자재,"3,005,628.8","1,526,072"
2019.12,수입,사우디아라비아,가. 연 료,"2,879,927.2","1,451,300"
2019.12,수입,사우디아라비아,나. 광 물,"6,682.8","17,449"
2019.12,수입,사우디아라비아,다. 경공업 원료,12.0,19
2019.12,수입,사우디아라비아,마. 섬유류,19.5,43
2019.12,수입,사우디아라비아,바. 화공품,"115,779.3","49,921"
2019.12,수입,사우디아라비아,사. 철강재,47.1,968
2019.12,수입,사우디아라비아,아. 비철금속,"3,142.7","6,161"
2019.12,수입,사우디아라비아,자. 기 타,18.3,211
2019.12,수입,사우디아라비아,3. 자본재,63.0,321
2019.12,수입,사우디아라비아,가. 기계류와 정밀기기,58.8,301
2019.12,수입,사우디아라비아,나. 전기·전자기기,4.1,17
2019.12,수입,사우디아라비아,다. 수송장비,.0,2
2019.12,수입,사우디아라비아,라. 기 타,.0,0
2020.01,수입,사우디아라비아,1. 소비재,50.8,242
2020.01,수입,사우디아라비아,나. 직접소비재,44.6,233
2020.01,수입,사우디아라비아,다. 내구소비재,.2,2
2020.01,수입,사우디아라비아,라. 비내구 소비재,.1,6
2020.01,수입,사우디아라비아,마. 간이세율 적용분,5.8,0
2020.01,수입,사우디아라비아,2. 원자재,"3,887,933.0","2,018,138"
2020.01,수입,사우디아라비아,가. 연 료,"3,819,858.7","1,968,488"
2020.01,수입,사우디아라비아,나. 광 물,"5,604.2","15,216"
2020.01,수입,사우디아라비아,다. 경공업 원료,115.2,74
2020.01,수입,사우디아라비아,라. 유 지,.0,0
2020.01,수입,사우디아라비아,마. 섬유류,19.5,42
2020.01,수입,사우디아라비아,바. 화공품,"61,204.5","31,834"
2020.01,수입,사우디아라비아,사. 철강재,.0,0
2020.01,수입,사우디아라비아,아. 비철금속,"1,103.9","2,049"
2020.01,수입,사우디아라비아,자. 기 타,27.0,434
2020.01,수입,사우디아라비아,3. 자본재,2.8,203
2020.01,수입,사우디아라비아,가. 기계류와 정밀기기,.4,8
2020.01,수입,사우디아라비아,나. 전기·전자기기,2.4,195
2020.01,수입,사우디아라비아,다. 수송장비,.1,0
2020.02,수입,사우디아라비아,1. 소비재,34.8,148
2020.02,수입,사우디아라비아,나. 직접소비재,24.5,137
2020.02,수입,사우디아라비아,다. 내구소비재,.7,4
2020.02,수입,사우디아라비아,라. 비내구 소비재,.1,7
2020.02,수입,사우디아라비아,마. 간이세율 적용분,9.5,0
2020.02,수입,사우디아라비아,2. 원자재,"3,514,805.3","1,745,144"
2020.02,수입,사우디아라비아,가. 연 료,"3,412,960.7","1,683,895"
2020.02,수입,사우디아라비아,나. 광 물,"5,538.8","15,486"
2020.02,수입,사우디아라비아,다. 경공업 원료,111.5,108
2020.02,수입,사우디아라비아,마. 섬유류,14.5,34
2020.02,수입,사우디아라비아,바. 화공품,"93,733.4","41,273"
2020.02,수입,사우디아라비아,사. 철강재,.1,1
2020.02,수입,사우디아라비아,아. 비철금속,"2,446.0","4,346"
2020.02,수입,사우디아라비아,자. 기 타,.4,2
2020.02,수입,사우디아라비아,3. 자본재,61.6,290
2020.02,수입,사우디아라비아,가. 기계류와 정밀기기,1.0,148
2020.02,수입,사우디아라비아,나. 전기·전자기기,60.3,137
2020.02,수입,사우디아라비아,다. 수송장비,.0,1
2020.02,수입,사우디아라비아,라. 기 타,.2,4
2020.03,수입,사우디아라비아,1. 소비재,113.2,536
2020.03,수입,사우디아라비아,나. 직접소비재,95.7,526
2020.03,수입,사우디아라비아,다. 내구소비재,.0,1
2020.03,수입,사우디아라비아,라. 비내구 소비재,.1,9
2020.03,수입,사우디아라비아,마. 간이세율 적용분,17.3,0
2020.03,수입,사우디아라비아,2. 원자재,"3,638,045.5","1,487,961"
2020.03,수입,사우디아라비아,가. 연 료,"3,539,357.5","1,431,013"
2020.03,수입,사우디아라비아,나. 광 물,"5,887.0","13,479"
2020.03,수입,사우디아라비아,다. 경공업 원료,96.8,106
2020.03,수입,사우디아라비아,마. 섬유류,.0,0
2020.03,수입,사우디아라비아,바. 화공품,"91,510.1","41,098"
2020.03,수입,사우디아라비아,사. 철강재,.0,1
2020.03,수입,사우디아라비아,아. 비철금속,"1,136.2","1,980"
2020.03,수입,사우디아라비아,자. 기 타,57.9,284
2020.03,수입,사우디아라비아,3. 자본재,"106,864.6","105,375"
2020.03,수입,사우디아라비아,가. 기계류와 정밀기기,2.4,69
2020.03,수입,사우디아라비아,나. 전기·전자기기,.1,9
2020.03,수입,사우디아라비아,다. 수송장비,"106,862.1","105,297"
2020.04,수입,사우디아라비아,1. 소비재,34.7,180
2020.04,수입,사우디아라비아,나. 직접소비재,28.2,172
2020.04,수입,사우디아라비아,다. 내구소비재,.1,3
2020.04,수입,사우디아라비아,라. 비내구 소비재,.1,4
2020.04,수입,사우디아라비아,마. 간이세율 적용분,6.4,0
2020.04,수입,사우디아라비아,2. 원자재,"3,281,065.2","915,837"
2020.04,수입,사우디아라비아,가. 연 료,"3,129,525.4","842,057"
2020.04,수입,사우디아라비아,나. 광 물,"6,242.2","14,283"
2020.04,수입,사우디아라비아,다. 경공업 원료,125.8,137
2020.04,수입,사우디아라비아,마. 섬유류,25.3,55
2020.04,수입,사우디아라비아,바. 화공품,"141,827.7","52,664"
2020.04,수입,사우디아라비아,사. 철강재,48.3,932
2020.04,수입,사우디아라비아,아. 비철금속,"3,169.8","5,326"
2020.04,수입,사우디아라비아,자. 기 타,100.8,383
2020.04,수입,사우디아라비아,3. 자본재,10.8,136
2020.04,수입,사우디아라비아,가. 기계류와 정밀기기,10.1,66
2020.04,수입,사우디아라비아,나. 전기·전자기기,.1,57
2020.04,수입,사우디아라비아,다. 수송장비,.1,1
2020.04,수입,사우디아라비아,라. 기 타,.5,13
2020.05,수입,사우디아라비아,1. 소비재,43.2,204
2020.05,수입,사우디아라비아,가. 곡물,.0,0
2020.05,수입,사우디아라비아,나. 직접소비재,40.6,200
2020.05,수입,사우디아라비아,다. 내구소비재,.1,1
2020.05,수입,사우디아라비아,라. 비내구 소비재,.1,2
2020.05,수입,사우디아라비아,마. 간이세율 적용분,2.3,0
2020.05,수입,사우디아라비아,2. 원자재,"4,139,845.3","740,450"
2020.05,수입,사우디아라비아,가. 연 료,"4,047,932.6","696,980"
2020.05,수입,사우디아라비아,나. 광 물,"2,628.0","4,631"
2020.05,수입,사우디아라비아,다. 경공업 원료,166.3,207
2020.05,수입,사우디아라비아,마. 섬유류,6.5,14
2020.05,수입,사우디아라비아,바. 화공품,"86,590.5","34,704"
2020.05,수입,사우디아라비아,사. 철강재,4.4,28
2020.05,수입,사우디아라비아,아. 비철금속,"2,499.9","3,867"
2020.05,수입,사우디아라비아,자. 기 타,17.1,18
2020.05,수입,사우디아라비아,3. 자본재,.4,11
2020.05,수입,사우디아라비아,가. 기계류와 정밀기기,.1,2
2020.05,수입,사우디아라비아,나. 전기·전자기기,.0,3
2020.05,수입,사우디아라비아,다. 수송장비,.3,6
2020.06,수입,사우디아라비아,1. 소비재,104.4,628
2020.06,수입,사우디아라비아,나. 직접소비재,101.0,623
2020.06,수입,사우디아라비아,다. 내구소비재,.0,1
2020.06,수입,사우디아라비아,라. 비내구 소비재,.1,3
2020.06,수입,사우디아라비아,마. 간이세율 적용분,3.2,0
2020.06,수입,사우디아라비아,2. 원자재,"4,195,229.4","914,390"
2020.06,수입,사우디아라비아,가. 연 료,"4,100,907.2","865,163"
2020.06,수입,사우디아라비아,나. 광 물,"2,004.5","4,160"
2020.06,수입,사우디아라비아,다. 경공업 원료,95.9,100
2020.06,수입,사우디아라비아,마. 섬유류,27.4,129
2020.06,수입,사우디아라비아,바. 화공품,"84,988.2","32,217"
2020.06,수입,사우디아라비아,사. 철강재,48.0,931
2020.06,수입,사우디아라비아,아. 비철금속,"7,149.2","11,559"
2020.06,수입,사우디아라비아,자. 기 타,9.1,131
2020.06,수입,사우디아라비아,3. 자본재,7.5,45
2020.06,수입,사우디아라비아,가. 기계류와 정밀기기,.5,18
2020.06,수입,사우디아라비아,나. 전기·전자기기,7.0,27
2020.06,수입,사우디아라비아,다. 수송장비,.0,0
2020.06,수입,사우디아라비아,라. 기 타,.0,0
2020.07,수입,사우디아라비아,1. 소비재,44.8,178
2020.07,수입,사우디아라비아,가. 곡물,.0,0
2020.07,수입,사우디아라비아,나. 직접소비재,29.3,150
2020.07,수입,사우디아라비아,다. 내구소비재,8.6,27
2020.07,수입,사우디아라비아,라. 비내구 소비재,.0,1
2020.07,수입,사우디아라비아,마. 간이세율 적용분,6.8,0
2020.07,수입,사우디아라비아,2. 원자재,"5,515,597.5","1,622,086"
2020.07,수입,사우디아라비아,가. 연 료,"5,435,265.2","1,577,442"
2020.07,수입,사우디아라비아,나. 광 물,"3,541.7","7,654"
2020.07,수입,사우디아라비아,다. 경공업 원료,138.4,157
2020.07,수입,사우디아라비아,마. 섬유류,6.3,14
2020.07,수입,사우디아라비아,바. 화공품,"74,137.2","32,046"
2020.07,수입,사우디아라비아,사. 철강재,55.7,643
2020.07,수입,사우디아라비아,아. 비철금속,"2,452.9","4,129"
2020.07,수입,사우디아라비아,자. 기 타,.1,1
2020.07,수입,사우디아라비아,3. 자본재,62.6,226
2020.07,수입,사우디아라비아,가. 기계류와 정밀기기,.6,12
2020.07,수입,사우디아라비아,나. 전기·전자기기,11.3,102
2020.07,수입,사우디아라비아,다. 수송장비,50.0,109
2020.07,수입,사우디아라비아,라. 기 타,.6,3
